1.432,0.963,0.968,0.922,1.066,0.972,0.921,1.212,1.015,0.907,0.932,0.83,0.944,0.936,0.872,1.269,0.859,0.877,0.925,1.05,0.976,1.067,1.159,1.104,0.782,1.216,0.999,0.899,0.928,0.928
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct
RIGHT, DOWN, LEFT, UP, RIGHT, LEFT, UP, DOWN, RIGHT, DOWN, RIGHT, LEFT, UP, RIGHT, UP, DOWN, UP, LEFT, UP, LEFT, RIGHT, LEFT, DOWN, RIGHT, LEFT, RIGHT, DOWN, RIGHT, LEFT, LEFT
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.807,1.541,1.469,1.591,1.148,1.159,1.132,1.771,1.164,1.448,1.191,1.316,1.519,0.334,2.624,1.578,1.287,1.243,1.848,1.291,1.291,,,,,,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, incorrect, correct, correct, correct, correct, correct, correct,,,,,,,,,
UP, DOWN, UP, RIGHT, LEFT, UP, LEFT, UP, DOWN, RIGHT, DOWN, RIGHT, UP, DOWN, UP, DOWN, UP, RIGHT, UP, DOWN, DOWN,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.894,0.873,0.862,0.941,1.03,0.891,0.964,1.14,0.988,0.758,1.702,0.972,0.899,1.081,0.977,1.275,0.972,0.834,1.798,1.257,0.805,1.04,0.862,1.158,0.967,1.034,0.858,1.114,1.114,
incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct,
LEFT, UP, LEFT, RIGHT, UP, LEFT, DOWN, LEFT, RIGHT, UP, DOWN, UP, DOWN, UP, DOWN, LEFT, UP, RIGHT, UP, RIGHT, LEFT, UP, DOWN, LEFT, DOWN, RIGHT, UP, RIGHT, RIGHT,
